model_id,model,vendor,surface_id,surface,counts_as,lifecycle,exposure,state_is_terminal,last_event,last_event_date,last_event_precision,known_as_of,model_superseded_by,open_questions
claude-1,Claude 1,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude1-2023-03-14,2023-03-14,day,2026-07-28,,0
claude-2,Claude 2,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude2-2023-07-11,2023-07-11,day,2026-07-28,,0
claude-2-1,Claude 2.1,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude2-1-2023-11-21,2023-11-21,day,2026-07-28,,0
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude3-5-sonnet-2024-06-21,2024-06-21,day,2026-07-28,,0
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-claude3-5-sonnet-ga-2025-04-04,2025-04-04,day,2026-07-28,,0
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude3-7-sonnet-2025-02-24,2025-02-24,day,2026-07-28,,0
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,retired,selectable,true,github-claude3-7-sonnet-retired-2025-10-23,2025-10-23,day,2026-07-28,,0
claude-3-haiku,Claude 3 Haiku,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude3-haiku-2024-03-13,2024-03-13,day,2026-07-28,,0
claude-3-opus,Claude 3 Opus,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude3-family-2024-03-04,2024-03-04,day,2026-07-28,,0
claude-3-sonnet,Claude 3 Sonnet,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude3-family-2024-03-04,2024-03-04,day,2026-07-28,,0
claude-fable-5,Claude Fable 5,Anthropic,anthropic-claude,Claude,,restored,catalogue,false,anthropic-fable5-restoration-2026-07-01,2026-07-01,day,2026-07-28,,0
claude-fable-5,Claude Fable 5,Anthropic,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,restored,selectable,false,github-fable5-restoration-2026-07-01,2026-07-01,day,2026-07-28,,0
claude-fable-5,Claude Fable 5,Anthropic,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,public_preview,selectable,false,m365-fable5-preview-2026-06-10,2026-06-10,day,2026-07-28,,0
claude-fable-5,Claude Fable 5,Anthropic,microsoft-foundry,Microsoft Foundry,microsoft | foundry,suspended,catalogue,false,foundry-fable5-suspension-2026-06-12,2026-06-12,day,2026-07-28,,1
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-haiku4-5-2025-10-15,2025-10-15,day,2026-07-28,,0
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,microsoft-foundry,Microsoft Foundry,microsoft | foundry,public_preview,catalogue,false,foundry-haiku4-5-2025-11-18,2025-11-18,day,2026-07-28,,0
claude-mythos-5,Claude Mythos 5,Anthropic,anthropic-claude,Claude,,restored,catalogue,false,anthropic-fable5-restoration-2026-07-01,2026-07-01,day,2026-07-28,,0
claude-opus-4,Claude Opus 4,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude4-2025-05-22,2025-05-22,day,2026-07-28,,0
claude-opus-4,Claude Opus 4,Anthropic,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,retired,selectable,true,github-claude-opus4-retired-2025-10-23,2025-10-23,day,2026-07-28,,0
claude-opus-4-1,Claude Opus 4.1,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-opus4-1-2025-08-05,2025-08-05,day,2026-07-28,,0
claude-opus-4-1,Claude Opus 4.1,Anthropic,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,limited_preview,selectable,false,m365-researcher-opus4-1-2025-09-24,2025-09-24,day,2026-07-28,,0
claude-opus-4-1,Claude Opus 4.1,Anthropic,microsoft-foundry,Microsoft Foundry,microsoft | foundry,public_preview,catalogue,false,foundry-opus4-1-2025-11-18,2025-11-18,day,2026-07-28,,0
claude-opus-4-1,Claude Opus 4.1,Anthropic,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,public_preview,selectable,false,studio-opus4-1-2025-09-24,2025-09-24,day,2026-07-28,,0
claude-opus-4-5,Claude Opus 4.5,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-opus4-5-2025-11-24,2025-11-24,day,2026-07-28,,0
claude-opus-4-5,Claude Opus 4.5,Anthropic,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-opus4-5-ga-2025-12-18,2025-12-18,day,2026-07-28,,0
claude-opus-4-5,Claude Opus 4.5,Anthropic,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,public_preview,selectable,false,studio-opus4-5-2025-11-24,2025-11-24,day,2026-07-28,,0
claude-opus-4-6,Claude Opus 4.6,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-opus4-6-2026-02-05,2026-02-05,day,2026-07-28,,0
claude-opus-4-6,Claude Opus 4.6,Anthropic,microsoft-foundry,Microsoft Foundry,microsoft | foundry,public_preview,catalogue,false,foundry-opus4-6-2026-02-05,2026-02-05,day,2026-07-28,,0
claude-opus-4-7,Claude Opus 4.7,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-opus4-7-2026-04-16,2026-04-16,day,2026-07-28,,0
claude-opus-4-7,Claude Opus 4.7,Anthropic,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-opus4-7-2026-04-16,2026-04-16,day,2026-07-28,,1
claude-opus-4-7,Claude Opus 4.7,Anthropic,microsoft-foundry,Microsoft Foundry,microsoft | foundry,ga,catalogue,false,foundry-opus4-7-2026-04-16,2026-04-16,day,2026-07-28,,0
claude-opus-4-7,Claude Opus 4.7,Anthropic,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,public_preview,selectable,false,studio-opus4-7-2026-04-16,2026-04-16,day,2026-07-28,,0
claude-opus-4-8,Claude Opus 4.8,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-opus4-8-2026-05-28,2026-05-28,day,2026-07-28,,0
claude-opus-4-8,Claude Opus 4.8,Anthropic,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-opus4-8-ga-2026-05-28,2026-05-28,day,2026-07-28,,0
claude-opus-4-8,Claude Opus 4.8,Anthropic,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-opus4-8-2026-05-28,2026-05-28,day,2026-07-28,,0
claude-opus-4-8,Claude Opus 4.8,Anthropic,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,ga,selectable,false,studio-opus4-8-2026-05-28,2026-05-28,day,2026-07-28,,0
claude-opus-5,Claude Opus 5,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-opus5-2026-07-24,2026-07-24,day,2026-07-28,,0
claude-opus-5,Claude Opus 5,Anthropic,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-opus5-2026-07-24,2026-07-24,day,2026-07-28,,0
claude-opus-5,Claude Opus 5,Anthropic,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-opus5-2026-07-24,2026-07-24,day,2026-07-28,,0
claude-opus-5,Claude Opus 5,Anthropic,microsoft-foundry,Microsoft Foundry,microsoft | foundry,ga,catalogue,false,foundry-opus5-availability-2026-07-24,2026-07-24,day,2026-07-28,,0
claude-opus-5,Claude Opus 5,Anthropic,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,ga,selectable,false,studio-opus5-2026-07-24,2026-07-24,day,2026-07-28,,0
claude-sonnet-4,Claude Sonnet 4,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-claude4-2025-05-22,2025-05-22,day,2026-07-28,,0
claude-sonnet-4,Claude Sonnet 4,Anthropic,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,public_preview,selectable,false,github-sonnet4-preview-2025-05-22,2025-05-22,day,2026-07-28,,0
claude-sonnet-4,Claude Sonnet 4,Anthropic,copilot-studio,Microsoft Copilot Studio,microsoft | copilot | studio,public_preview,selectable,false,studio-sonnet4-2025-09-24,2025-09-24,day,2026-07-28,,0
claude-sonnet-4-5,Claude Sonnet 4.5,Anthropic,anthropic-claude,Claude,,ga,not_applicable,false,anthropic-sonnet4-5-2025-09-29,2025-09-29,day,2026-07-28,,0
