model_id,model,vendor,tier,measure,baseline_event,baseline_date,baseline_lifecycle,first_event,first_date,first_surface,first_exposure,first_lifecycle,lag_days_min,lag_days_max,certainty
claude-1,Claude 1,Anthropic,microsoft,any_exposure,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,microsoft,selectable_or_default,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,copilot,any_exposure,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,copilot,selectable_or_default,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,m365,any_exposure,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,m365,selectable_or_default,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,studio,any_exposure,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,studio,selectable_or_default,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,github_copilot,any_exposure,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,github_copilot,selectable_or_default,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,foundry,any_exposure,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-1,Claude 1,Anthropic,foundry,selectable_or_default,anthropic-claude1-2023-03-14,2023-03-14,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,microsoft,any_exposure,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,microsoft,selectable_or_default,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,copilot,any_exposure,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,copilot,selectable_or_default,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,m365,any_exposure,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,m365,selectable_or_default,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,studio,any_exposure,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,studio,selectable_or_default,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,github_copilot,any_exposure,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,github_copilot,selectable_or_default,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,foundry,any_exposure,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2,Claude 2,Anthropic,foundry,selectable_or_default,anthropic-claude2-2023-07-11,2023-07-11,ga,,,,,,,,not_recorded
claude-2-1,Claude 2.1,Anthropic,microsoft,any_exposure,anthropic-claude2-1-2023-11-21,2023-11-21,ga,,,,,,,,not_recorded
claude-2-1,Claude 2.1,Anthropic,microsoft,selectable_or_default,anthropic-claude2-1-2023-11-21,2023-11-21,ga,,,,,,,,not_recorded
claude-2-1,Claude 2.1,Anthropic,copilot,any_exposure,anthropic-claude2-1-2023-11-21,2023-11-21,ga,,,,,,,,not_recorded
