id,display_name,vendor,series,generation,model_line,family,aliases,supersedes,superseded_by,event_count
gpt-3,GPT-3,OpenAI,openai-gpt,gpt-3,,gpt-3,,,,3
gpt-3-5,GPT-3.5,OpenAI,openai-gpt,gpt-3-5,,,GPT-3.5 generation,,,2
gpt-3-5-turbo,GPT-3.5 Turbo,OpenAI,openai-gpt,gpt-3-5,,,ChatGPT | gpt-35-turbo | gpt-3.5-turbo,,,2
codex,Codex,OpenAI,,,,,,,,5
dall-e-2,DALL-E 2,OpenAI,,,,,,,,3
gpt-4,GPT-4,OpenAI,openai-gpt,gpt-4,,,GPT-4 generation,,,6
gpt-4-turbo,GPT-4 Turbo,OpenAI,openai-gpt,gpt-4,,,,,,4
gpt-4o,GPT-4o,OpenAI,openai-gpt,gpt-4,,,,,,7
gpt-4-1,GPT-4.1,OpenAI,openai-gpt,gpt-4,,gpt-4-1,,,,5
gpt-4-1-mini,GPT-4.1 mini,OpenAI,openai-gpt,gpt-4,,gpt-4-1,,,,2
gpt-4-1-nano,GPT-4.1 nano,OpenAI,openai-gpt,gpt-4,,gpt-4-1,,,,3
o1-preview,o1-preview,OpenAI,openai-o,o1,,o1,,,o1,6
o1-mini,o1-mini,OpenAI,openai-o,o1,,o1,,,,7
o1,o1,OpenAI,openai-o,o1,,o1,,o1-preview,,6
o3,o3,OpenAI,openai-o,o3,,,,,,4
o3-mini,o3-mini,OpenAI,openai-o,o3,,,,,,10
o4-mini,o4-mini,OpenAI,openai-o,o4,,,,,,5
openai-deep-research,OpenAI deep research model,OpenAI,,,,,,,,2
gpt-5,GPT-5,OpenAI,openai-gpt,gpt-5,,,,,,7
gpt-5-mini,GPT-5 mini,OpenAI,openai-gpt,gpt-5,,,,,,2
gpt-5-1,GPT-5.1,OpenAI,openai-gpt,gpt-5,,,,,,2
gpt-5-2,GPT-5.2,OpenAI,openai-gpt,gpt-5,,,,,,3
gpt-5-3-instant,GPT-5.3 Instant,OpenAI,openai-gpt,gpt-5,,,GPT-5.3 Chat,,,3
gpt-5-4,GPT-5.4,OpenAI,openai-gpt,gpt-5,,,GPT-5.4 Reasoning,,,3
gpt-5-5,GPT-5.5,OpenAI,openai-gpt,gpt-5,,,GPT-5.5 Reasoning,,,4
gpt-5-5-instant,GPT-5.5 Instant,OpenAI,openai-gpt,gpt-5,,,GPT-5.5 Chat,,,5
gpt-5-5-thinking,GPT-5.5 Thinking,OpenAI,openai-gpt,gpt-5,,,,,,1
gpt-5-6-sol,GPT-5.6 Sol,OpenAI,openai-gpt,gpt-5,,gpt-5-6,,,,5
gpt-5-6-terra,GPT-5.6 Terra,OpenAI,openai-gpt,gpt-5,,gpt-5-6,,,,4
gpt-5-6-luna,GPT-5.6 Luna,OpenAI,openai-gpt,gpt-5,,gpt-5-6,,,,4
claude-1,Claude 1,Anthropic,claude,claude-1,,,,,,1
claude-2,Claude 2,Anthropic,claude,claude-2,,,,,,1
claude-2-1,Claude 2.1,Anthropic,claude,claude-2,,,,,,1
claude-3-opus,Claude 3 Opus,Anthropic,claude,claude-3,claude-opus,claude-3,,,,1
claude-3-sonnet,Claude 3 Sonnet,Anthropic,claude,claude-3,claude-sonnet,claude-3,,,,1
claude-3-haiku,Claude 3 Haiku,Anthropic,claude,claude-3,claude-haiku,claude-3,,,,1
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,claude,claude-3,claude-sonnet,,,,,4
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,claude,claude-3,claude-sonnet,,,,,4
claude-sonnet-4,Claude Sonnet 4,Anthropic,claude,claude-4,claude-sonnet,claude-4,,,,3
claude-opus-4,Claude Opus 4,Anthropic,claude,claude-4,claude-opus,claude-4,,,,3
claude-opus-4-1,Claude Opus 4.1,Anthropic,claude,claude-4,claude-opus,,,,,4
claude-sonnet-4-5,Claude Sonnet 4.5,Anthropic,claude,claude-4,claude-sonnet,,,,,6
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,claude,claude-4,claude-haiku,,,,,2
claude-opus-4-5,Claude Opus 4.5,Anthropic,claude,claude-4,claude-opus,,,,,4
claude-sonnet-4-6,Claude Sonnet 4.6,Anthropic,claude,claude-4,claude-sonnet,,,,,2
claude-opus-4-7,Claude Opus 4.7,Anthropic,claude,claude-4,claude-opus,,,,,3
claude-opus-4-8,Claude Opus 4.8,Anthropic,claude,claude-4,claude-opus,,,,,4
claude-sonnet-5,Claude Sonnet 5,Anthropic,claude,claude-5,claude-sonnet,,,,,4
claude-opus-5,Claude Opus 5,Anthropic,claude,claude-5,claude-opus,,,,,5
claude-fable-5,Claude Fable 5,Anthropic,claude,claude-5,claude-fable,,,,,9
claude-mythos-5,Claude Mythos 5,Anthropic,claude,claude-5,claude-mythos,,,,,3
gemini-1-5-pro,Gemini 1.5 Pro,Google,gemini,gemini-1,,,,,,2
gemini-2-5-pro,Gemini 2.5 Pro,Google,gemini,gemini-2,,,,,,1
gemini-3-6-flash,Gemini 3.6 Flash,Google,gemini,gemini-3,,,,,,2
grok-3,Grok 3,xAI,grok,grok-3,,,,,,3
grok-3-mini,Grok 3 Mini,xAI,grok,grok-3,,,Grok 3 mini,,,3
grok-4,Grok 4,xAI,grok,grok-4,,,,,,2
grok-4-5,Grok 4.5,xAI,grok,grok-4,,,,,,2
llama-2,Llama 2,Meta,llama,llama-2,,,,,,2
mistral-3,Mistral 3,Mistral AI,mistral,mistral-3,,,,,,1
mistral-large-3,Mistral Large 3,Mistral AI,mistral,mistral-3,,,,,,2
deepseek-r1,DeepSeek-R1,DeepSeek,deepseek-r,deepseek-r1,,,,,,3
deepseek-v3,DeepSeek-V3,DeepSeek,deepseek-v,deepseek-v3,,,,,,1
deepseek-v3-2,DeepSeek V3.2,DeepSeek,deepseek-v,deepseek-v3,,,,,,2
deepseek-v3-2-speciale,DeepSeek V3.2-Speciale,DeepSeek,deepseek-v,deepseek-v3,,,,,,2
kimi-k2-7-code,Kimi K2.7 Code,Moonshot AI,kimi,kimi-k2,,,,,,3
kimi-k3,Kimi K3,Moonshot AI,kimi,kimi-k3,,,FW Kimi K3,,,1
